ResponseId,Age,Country,EdLevel,Employment,RemoteWork,DevType,YearsCodePro,OrgSize,ConvertedCompYearly,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,AISelect,AISent,AIBen
27403,25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time;Student, full-time",Remote,"Developer, full-stack",,,,,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Cosmos DB;Microsoft SQL Server;MySQL;PostgreSQL,Yes,Favorable,Somewhat distrust
44681,35-44 years old,,,,,,,,,,,,,,
17766,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Employed, full-time",Remote,"Developer, embedded applications or devices",10,100 to 499 employees,65793.0,GBP	Pound sterling,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL,"No, and I don't plan to",,
18628,18-24 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, full-stack",2,100 to 499 employees,,INR	Indian rupee,HTML/CSS;JavaScript;PHP;SQL,MariaDB;SQLite,Yes,Favorable,Neither trust nor distrust
25440,35-44 years old,United States of America,"Associate degree (A.A., A.S., etc.)","Employed, part-time",In-person,Student,,,,,Ada;HTML/CSS;JavaScript;SQL,BigQuery;MongoDB;MySQL,"No, but I plan to soon",Favorable,Somewhat trust
49022,35-44 years old,Spain,"Associate degree (A.A., A.S., etc.)","Employed, full-time",Remote,"Developer, back-end",12,"1,000 to 4,999 employees",,EUR European Euro,JavaScript;Ruby;SQL,PostgreSQL;SQLite,"No, but I plan to soon",Favorable,Somewhat distrust
59972,25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time",In-person,"Developer, back-end",5,20 to 99 employees,,INR	Indian rupee,C;C++;Go;Java;JavaScript;MATLAB;PowerShell;SQL;TypeScript,Couchbase;MySQL;Oracle;PostgreSQL;SQLite,"No, but I plan to soon",Favorable,Somewhat trust
17605,18-24 years old,Tunisia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, full-stack",1,2 to 9 employees,450.0,TND	Tunisian dinar,HTML/CSS;JavaScript;TypeScript,InfluxDB;MongoDB,Yes,Favorable,Neither trust nor distrust
24311,25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, full-stack",4,"1,000 to 4,999 employees",,INR	Indian rupee,C#;HTML/CSS;Java;JavaScript;Python;SQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Yes,Very favorable,Neither trust nor distrust
82521,18-24 years old,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time;Student, full-time","Hybrid (some remote, some in-person)","Developer, front-end",,,,,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MySQL,Yes,Very favorable,Somewhat trust
27108,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, back-end",10,"1,000 to 4,999 employees",117931.0,GBP	Pound sterling,Bash/Shell (all shells);Scala,Elasticsearch;Redis,"No, and I don't plan to",,
2183,45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, mobile",30,"1,000 to 4,999 employees",350000.0,USD	United States dollar,Bash/Shell (all shells);C;Objective-C;Swift,MySQL;SQLite,"No, and I don't plan to",,
46517,18-24 years old,Croatia,"Associate degree (A.A., A.S., etc.)","Student, full-time",,,,,,,C#;C++;HTML/CSS;JavaScript;Kotlin;PHP;TypeScript,Firebase Realtime Database;Microsoft SQL Server;MongoDB;SQLite,Yes,Indifferent,Neither trust nor distrust
42150,35-44 years old,"Venezuela, Bolivarian Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, back-end",9,10 to 19 employees,30000.0,USD	United States dollar,C#;SQL,Microsoft SQL Server;Oracle,Yes,Favorable,Somewhat trust
36659,18-24 years old,Thailand,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Student, full-time",,,,,,,C;C++;HTML/CSS;JavaScript;Python;TypeScript,MongoDB;MySQL;RavenDB;SQLite,Yes,Favorable,Somewhat trust
51147,35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,DevOps specialist,6,100 to 499 employees,150000.0,USD	United States dollar,Bash/Shell (all shells);Java;PHP;Python;Ruby;SQL,Couchbase;Elasticsearch;MariaDB;MongoDB;MySQL,"No, and I don't plan to",,
29680,45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",,Marketing or sales professional,,,,,HTML/CSS;Java;JavaScript;PHP;Python,MySQL,"No, but I plan to soon",Unfavorable,Somewhat trust
10188,45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,Cloud infrastructure engineer,23,"10,000 or more employees",210000.0,USD	United States dollar,C#;Java;PowerShell;SQL,Microsoft SQL Server;PostgreSQL,"No, and I don't plan to",,
12092,25-34 years old,Spain,Some college/university study without earning a degree,"Employed, full-time",In-person,"Developer, full-stack",4,2 to 9 employees,23560.0,EUR European Euro,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;TypeScript;Visual Basic (.Net),InfluxDB;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Yes,Favorable,Highly distrust
26192,45-54 years old,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Employed, full-time","Hybrid (some remote, some in-person)",Engineering manager,28,,,,Ada;C;C#;C++;Fortran;Haskell;HTML/CSS;Java;JavaScript;Lisp;Objective-C;Perl;PHP;Prolog;Python;Ruby;SQL,Cassandra;Couchbase;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"No, and I don't plan to",,
46278,18-24 years old,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Student, full-time",,,,,,,C;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL,MySQL;SQLite,Yes,Favorable,Neither trust nor distrust
35654,35-44 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","Senior Executive (C-Suite, VP, etc.)",25,20 to 99 employees,,BRL	Brazilian real,Bash/Shell (all shells);Go;Java;JavaScript;SQL;TypeScript,Elasticsearch;Firebase Realtime Database;MongoDB;PostgreSQL;Redis;Snowflake,"No, but I plan to soon",Indifferent,Neither trust nor distrust
81412,18-24 years old,Nepal,"Associate degree (A.A., A.S., etc.)","Student, full-time",,,,,,,C;HTML/CSS;JavaScript;Lua;Python;SQL,SQLite,Yes,Indifferent,Somewhat trust
36687,55-64 years old,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time","Hybrid (some remote, some in-person)",Scientist,,,,,C#;VBA,Microsoft Access;PostgreSQL;SQLite,"No, and I don't plan to",,
61835,18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Student, full-time",,,,,,,C++;JavaScript;Lua;Python;SQL,MongoDB;MySQL,Yes,Very favorable,Somewhat distrust
3654,25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",In-person,Scientist,7,I don’t know,74000.0,USD	United States dollar,Bash/Shell (all shells);C#;C++;Lua;Python;Ruby,,"No, and I don't plan to",,
36384,25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, back-end",5,500 to 999 employees,200000.0,USD	United States dollar,JavaScript,Dynamodb;MySQL;Redis,"No, and I don't plan to",,
39272,18-24 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Student,,,,,Assembly;Bash/Shell (all shells);C;C++;Kotlin;Python;Rust,Cloud Firestore;Dynamodb;PostgreSQL;SQLite,"No, and I don't plan to",,
47618,25-34 years old,Turkey,Primary/elementary school,"Employed, full-time;Employed, part-time","Hybrid (some remote, some in-person)","Developer, full-stack",5,2 to 9 employees,,TRY	Turkish lira,C#;C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Yes,Favorable,Somewhat trust
61138,35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"Developer, full-stack",8,"Just me - I am a freelancer, sole proprietor, etc.",175000.0,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Dynamodb;PostgreSQL;SQLite,"No, but I plan to soon",Favorable,Somewhat distrust
28169,25-34 years old,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Employed, full-time",In-person,Academic researcher,4,2 to 9 employees,,USD	United States dollar,C;HTML/CSS;JavaScript;Python;TypeScript,MongoDB,Yes,Very favorable,Somewhat trust
69397,65 years or older,United States of America,Some college/university study without earning a degree,"Not employed, and not looking for work",,,,,,,Delphi,,Yes,Unsure,Somewhat trust
17891,18-24 years old,Rwanda,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed;Student, part-time",Remote,"Developer, full-stack",,,,,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Cloud Firestore;MariaDB;MongoDB;MySQL;PostgreSQL,Yes,Favorable,Somewhat trust
46398,25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, back-end",3,"1,000 to 4,999 employees",12117.0,INR	Indian rupee,Java,Solr,"No, but I plan to soon",Indifferent,Somewhat trust
36992,35-44 years old,India,"Associate degree (A.A., A.S., etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, back-end",5,"1,000 to 4,999 employees",18175.0,INR	Indian rupee,Python,Firebase Realtime Database;MariaDB;MySQL;Redis;SQLite,Yes,Favorable,Somewhat trust
57901,45-54 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,Research & Development role,30,"10,000 or more employees",223054.0,CAD	Canadian dollar,Bash/Shell (all shells);C++;Python,,Yes,Favorable,Somewhat distrust
2741,25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, back-end",4,"10,000 or more employees",,INR	Indian rupee,C;C++;Java;JavaScript;Python,Elasticsearch;MySQL;PostgreSQL;SQLite,"No, and I don't plan to",,
20975,45-54 years old,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Remote,"Developer, desktop or enterprise applications",20,100 to 499 employees,36395.0,CZK	Czech koruna,Delphi;SQL,Firebird,Yes,Very favorable,Neither trust nor distrust
18388,25-34 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, full-stack",6,20 to 99 employees,74963.0,EUR European Euro,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB,Yes,Favorable,Neither trust nor distrust
26168,35-44 years old,Brazil,"Associate degree (A.A., A.S., etc.)","Employed, full-time",Remote,"Developer, full-stack",15,100 to 499 employees,,BRL	Brazilian real,HTML/CSS;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,"No, but I plan to soon",Favorable,Somewhat distrust
17709,25-34 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time",Remote,"Developer, full-stack",13,"10,000 or more employees",36998.0,PLN	Polish zloty,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,"No, and I don't plan to",,
39521,45-54 years old,Sweden,Some college/university study without earning a degree,"Employed, full-time","Hybrid (some remote, some in-person)","Developer, back-end",25,100 to 499 employees,60813.0,SEK	Swedish krona,Go;Java;Python;SQL,Cassandra;Firebird;PostgreSQL;Snowflake,"No, and I don't plan to",,
21157,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Remote,"Developer, back-end",15,"10,000 or more employees",86897.0,GBP	Pound sterling,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Cosmos DB;Microsoft SQL Server;MongoDB,Yes,Favorable,Neither trust nor distrust
53111,18-24 years old,United States of America,Some college/university study without earning a degree,"Not employed, but looking for work;Student, full-time",,Student,,,,,HTML/CSS;Java;JavaScript;Python,,"No, but I plan to soon",Favorable,Somewhat trust
70287,18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, full-stack",Less than 1 year,20 to 99 employees,78000.0,USD	United States dollar,C#;HTML/CSS;Python;SQL,Microsoft SQL Server,Yes,Indifferent,Neither trust nor distrust
39295,18-24 years old,Bulgaria,Some college/university study without earning a degree,"Employed, full-time","Hybrid (some remote, some in-person)",Cloud infrastructure engineer,2,20 to 99 employees,3832.0,BGN	Bulgarian lev,Haskell;JavaScript;Scala;TypeScript,Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL,Yes,Very favorable,Somewhat trust
53037,25-34 years old,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Senior Executive (C-Suite, VP, etc.)",8,20 to 99 employees,99156.0,AUD	Australian dollar,Python;Ruby;SQL,Cosmos DB;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Yes,Favorable,Somewhat trust
84313,45-54 years old,India,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, full-stack",13,20 to 99 employees,31504.0,INR	Indian rupee,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Solidity;SQL,Dynamodb;MongoDB;PostgreSQL;SQLite,"No, but I plan to soon",Favorable,Somewhat distrust
20574,18-24 years old,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Student, full-time",,,,,,,HTML/CSS;Java;JavaScript;Lisp;Rust;SQL;TypeScript,PostgreSQL;Supabase,"No, but I plan to soon",Favorable,Somewhat trust
79409,18-24 years old,United States of America,Some college/university study without earning a degree,"Employed, full-time",Remote,"Developer, full-stack",6,"10,000 or more employees",,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Yes,Indifferent,Highly distrust
15273,35-44 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time","Hybrid (some remote, some in-person)",DevOps specialist,18,20 to 99 employees,,EUR European Euro,Bash/Shell (all shells);PowerShell;Python;SQL,Elasticsearch;Microsoft SQL Server;SQLite,"No, but I plan to soon",Very favorable,Somewhat trust
14503,25-34 years old,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Student, full-time",,,,,,,Java;Rust,Oracle,Yes,Favorable,Somewhat distrust
51082,18-24 years old,United States of America,Some college/university study without earning a degree,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Student,,,,,Assembly;C#;C++;GDScript;HTML/CSS;JavaScript;Python;Ruby;SQL,InfluxDB;SQLite,Yes,Favorable,Somewhat trust
75831,Under 18 years old,Philippines,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Student, full-time",,,,,,,HTML/CSS;JavaScript;PHP;VBA,,Yes,Favorable,Neither trust nor distrust
32293,Under 18 years old,Belgium,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, and not looking for work",,,,,,,C++;Java,,"No, and I don't plan to",,
35998,18-24 years old,Viet Nam,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Student, part-time",,,,,,,Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;MATLAB;SQL,Microsoft SQL Server,Yes,Very favorable,Somewhat trust
81343,25-34 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)",Project manager,11,100 to 499 employees,58899.0,EUR European Euro,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,InfluxDB;MongoDB;PostgreSQL;Redis,Yes,Very favorable,Somewhat trust
6812,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Student, full-time",,,,,,,C++;JavaScript;Python;Rust;Swift,PostgreSQL;SQLite,"No, and I don't plan to",,
34424,45-54 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time",Remote,"Developer, desktop or enterprise applications",31,"10,000 or more employees",165000.0,USD	United States dollar,Assembly;C#;SQL;Visual Basic (.Net),,"No, but I plan to soon",Very favorable,Somewhat distrust
70446,18-24 years old,Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work;Student, full-time",,"Developer, back-end",,,,,C;C++;HTML/CSS;Java;JavaScript;SQL,PostgreSQL,Yes,Indifferent,Neither trust nor distrust
713,35-44 years old,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time",In-person,"Developer, desktop or enterprise applications",3,20 to 99 employees,990.0,RUB	Russian ruble,Java;Python,PostgreSQL,"No, and I don't plan to",,
4080,25-34 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, full-stack",8,100 to 499 employees,144985.0,CAD	Canadian dollar,JavaScript,Dynamodb;Microsoft SQL Server;PostgreSQL,"No, but I plan to soon",Very favorable,Somewhat trust
47721,25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, full-stack",3,100 to 499 employees,,INR	Indian rupee,C++;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL,Yes,Indifferent,Somewhat trust
59965,35-44 years old,"Iran, Islamic Republic of...","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time",In-person,"Developer, back-end",12,100 to 499 employees,113388.0,IRR	Iranian rial,C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,"No, and I don't plan to",,
70268,25-34 years old,Kosovo,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",In-person,Product manager,5,100 to 499 employees,60399.0,EUR European Euro,Swift,MongoDB,Yes,Very favorable,Somewhat trust
40863,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","Developer, full-stack",5,"1,000 to 4,999 employees",57104.0,GBP	Pound sterling,Bash/Shell (all shells);C#;GDScript;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript;VBA,Elasticsearch;Microsoft SQL Server;MySQL;Neo4J;PostgreSQL;Redis;SQLite,"No, but I plan to soon",Indifferent,Neither trust nor distrust
79516,18-24 years old,Hungary,Something else,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"Developer, back-end",3,"10,000 or more employees",34805.0,HUF	Hungarian forint,Java;Kotlin;SQL,PostgreSQL;Redis,Yes,Favorable,Somewhat trust
3095,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Remote,"Developer, back-end",10,100 to 499 employees,186207.0,GBP	Pound sterling,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;Supabase,Yes,Very favorable,Somewhat trust
2998,Under 18 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Student, full-time",,,,,,,C#;C++;Dart;HTML/CSS;JavaScript;Julia;Kotlin;Lua;Python,Cloud Firestore;Firebase Realtime Database;MongoDB,Yes,Favorable,Somewhat trust
37855,65 years or older,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","Developer, mobile",45,20 to 99 employees,135919.0,NOK	Norwegian krone,C#,,"No, and I don't plan to",,
58879,25-34 years old,Ethiopia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Remote,"Developer, front-end",6,100 to 499 employees,24203.0,ETB	Ethiopian birr,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL,"No, but I plan to soon",Favorable,Somewhat trust
65247,35-44 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time","Hybrid (some remote, some in-person)",Other (please specify):,13,100 to 499 employees,107090.0,EUR European Euro,Bash/Shell (all shells);Clojure;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,BigQuery;Cosmos DB;H2;IBM DB2;MySQL;Neo4J;PostgreSQL;Redis,Yes,Favorable,Highly distrust
81811,18-24 years old,Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Employed, full-time",Remote,"Developer, desktop or enterprise applications",1,"10,000 or more employees",,EUR European Euro,Java;JavaScript;TypeScript,H2;MariaDB;MySQL;Oracle;PostgreSQL,"No, and I don't plan to",,
50927,25-34 years old,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)",Cloud infrastructure engineer,12,20 to 99 employees,67226.0,ZAR	South African rand,Bash/Shell (all shells);JavaScript;PHP;PowerShell;Python;SQL,InfluxDB;MariaDB;MySQL;PostgreSQL;Redis,Yes,Very favorable,Somewhat trust
69765,35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, back-end",13,20 to 99 employees,143000.0,USD	United States dollar,Go;SQL,Dynamodb;MariaDB,"No, and I don't plan to",,
44318,25-34 years old,Peru,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time","Hybrid (some remote, some in-person)","Developer, back-end",6,20 to 99 employees,40751.0,PEN	Peruvian sol,Go;Java;PHP;Python;SQL,Dynamodb;MySQL;Oracle,"No, but I plan to soon",Very favorable,Somewhat trust
3271,18-24 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Employed, full-time",Remote,"Developer, full-stack",2,100 to 499 employees,74963.0,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,PostgreSQL,Yes,Favorable,Neither trust nor distrust
45943,35-44 years old,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Employed, full-time",In-person,"Developer, full-stack",17,"10,000 or more employees",181226.0,NOK	Norwegian krone,C#;Python;TypeScript,,Yes,Very favorable,Neither trust nor distrust
81018,55-64 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hardware Engineer,37,"Just me - I am a freelancer, sole proprietor, etc.",,GBP	Pound sterling,C;C++;Delphi,Firebird;MySQL;Oracle,"No, but I plan to soon",Indifferent,Neither trust nor distrust
46287,18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Employed, full-time;Not employed, but looking for work",In-person,Other (please specify):,,,,,Bash/Shell (all shells);HTML/CSS;Lisp;OCaml;Python;R,,Yes,Favorable,Highly distrust
